머리;head
이 호텔까지 데려다줄 수 있어요?;can you take me to this hotel please?
질문;question
질문하다;to ask
~에 대하여;about
~에 대하여 질문하다;to ask about ...
거리;street
모퉁이;corner
건물;building
돌다;to turn
따라오다;to follow ...- to come with ...
멈추다;to stop
넓다;to be wide
좁다;to be narrow
빠르다;to be quick
빠르게;quickly
느리다;to be slow
느리게;slowly
오른쪽;right (direction)
왼쪽;left (direction)
똑바로;straight (direction)
제가 질문해도 될까요?;can I ask you a question?
나를 따라오세요;come with me
왼쪽으로 돌아요;turn left
말이 너무 빨라요;you speak too quickly
천천히 말해주실 수 있나요?;can you speak slower please?
뉴스;news
신문;newspaper
잡지;magazine
영화;film
티브이;TV
연극;play (at the theatre)
쇼;show
티브이 쇼;TV show
읽다;to read
몹시;terribly
몹시 싫어하다;to hate
사랑하다;to love
관심;interest
~에 관심이 있어요;is interested in ...
뭐 하는 것;what (I'm) doing
~의;possessive particle
그의;his
그녀의;her
그들의;their
그들의 엄마;their mum
그는 뭐 하는 것을 좋아해요?;what does he like to do?
당신은 뭐에 관심이 있어요?;what are you interested in?
그는 신문 읽는 것을 몹시 싫어해요;he hates reading the newspaper
당신은 예술에 관심이 있어요?;are you interested in art?
그는 언어에 관심이 있어요;he's interested in languages
내 여자친구는 예술과 음악을 몹시 싫어해요;my girlfriend hates art and music
그들의 엄마는 항상 뉴스를 봐요;their mum always watches the news
구급차;ambulance
부르다;to call (on the phone)
부러진;broken (bones)
어디가 아프세요?;where does it hurt? (polite)
구급차를 불러요;call an ambulance
나는 팔이 아파요;my arm hurts
당신은 다리가 부러졌어요;your leg is broken
의사 선생님은 당신의 다리가 부러졌다고 생각해요;the doctor thinks your leg is broken
알아내다;to figure out
나는 그것을 알아냈어요;I figured it out
아주 신나다;to be very excited- to be thrilled
나는 아주 신나요;I'm very excited
어머나!;oh dear!
믿을 수 없어요!;unbelievable!
아!;ah!
짜증 나!;that's annoying!
기다리세요!;(please) wait!
크리스마스;Christmas
메리 크리스마스!;Merry Christmas!
새해;New Year
복;fortune
받으세요;receives (polite)
새해 복 많이 받으세요;Happy New Year!
비자;visa
탑승권;boarding pass
여권;passport
티켓;ticket
공항;airport
터미널;terminal
수화물;luggage
여행;journey- trip
여행 가방;suitcase
여행하다;to travel
방문하다;to visit
보여주다;to show
버스를 타다;to take a bus
우리는 어느 도시를 방문해야 해요?;which city should we visit?
당신은 티켓과 비자를 가지고 있어야 해요;you have to have a ticket and a visa
당신은 당신의 여권을 공항에서 보여줘야 해요;you have to show your passport in the airport
우리는 택시를 타야만 해요;we have to take a taxi
내 수화물은 너무 무거워요;my luggage is too heavy
몸;body
건강;health
몸 건강하세요;take care (polite)
문제;problem- matter- issue
문제없어요;no problem
걱정하다;to worry
~지 마세요;not (do something)- don't (polite)
걱정하지 마세요;don't worry (polite)
상관;mind
나는 상관없어요;I don't mind
아뿔싸!;oops!
아 안돼!;oh no!
정말!;indeed!
축하해요!;congratulations!
아싸!;yay!
첫 번째;first
두 번째;second
세 번째;third
네 번째;fourth
다섯 번째;fifth
여섯 번째;sixth
일곱 번째;seventh
여덟 번째;eighth
아홉 번째;ninth
열 번째;tenth
일월;January
이월;February
삼월;March
시월;October
십일월;November
십이월;December
며칠;date (in calendar)
칠월이에요;it's July
오늘은 며칠이에요?;what's the date today?
오늘은 일월 이일이에요;today is the second of January
그녀는 돈이 너무 많아요;she has too much money
우리는 우리 돈을 다 쓸 수 없어요;we can't spend all our money
서점은 세일 중이에요;the bookshop has a sale on
저것은 얼마예요?;how much is that?
세일 중이기 때문에 정말 싸요;it's very cheap because it's on sale
그것은 오천원이에요;It's five thousand won
나는 돈이 충분히 없어요;I don't have enough money
거래합시다;let's make a deal
제가 당신에게 제안 하나 해 드릴게요;let me make you an offer
그것은 정말 좋은 제안이에요;it's a very good offer
공짜예요!;(it's) free!
춤추다;to dance
수영하다;to swim
수영하러 가다;to go for a swim
산책하다;to walk
산책하러 가다;to go for a walk
달리다;to run
달리러 가다;to go for a run
나가다;to go out
점심 먹으러 나가다;to go out for lunch
저녁 먹으러 나가다;to go out for dinner
늦잠을 자다;to sleep in- to oversleep
샤워하다;to take a shower
집에 가다;to go home
나는 ~ㄹ 거예요;I'm going to (do something)- I'll ...
오늘 뭐 하고 싶어요?;what do you want to do today?
나는 오늘 오후에 수영하러 가고 싶어요;this afternoon- I want to go for a swim
산책하러 가고 싶어요?;do you want to go for a walk?
우리는 내일 밤에 춤추러 갈 거예요;we're going to go for a dance tomorrow night
오후;afternoon
저녁;evening
이르다;to be early
늦다;to be late
어제;yesterday
오늘;today
내일;tomorrow
오늘 오후;this afternoon
오늘 밤;tonight
내일 아침;tomorrow morning
거울;mirror
램프;lamp
열쇠;key
자물쇠;lock
펜;pen
연필;pencil
베개;pillow
이불;duvet
담요;blanket
앞에;in front of
소파 아래에 있어요;it's under the sofa
당신은 내 열쇠가 어디에 있는지 알아요?;do you know where my key is?
당신의 열쇠는 소파 아래에 있어요;your key is under the sofa
거실에 의자가 몇 개 있어요?;how many chairs are there in the living room?
냉장고에 우유가 얼마나 있어요?;how much milk is there in the fridge?
가구;furniture
테이블;table
의자;chair
소파;sofa
찬장;cupboard
책장;bookcase
침대;bed
냉장고;fridge
냉동고;freezer
스토브;stove
오븐;oven
서랍장;chest of drawers
옷장;wardrobe
문;door
창문;window
천장;ceiling
벽;wall
지붕;roof
계획;plan
항공편;flight
비행기;plane
배;ship
자전거;bike
산;mountain
바다;sea
해변;beach
호수;lake
운전하다;to drive
비행기를 타고 가다;to fly (transport)- take a plane
항해하다;to sail
오다;to come- to join
제시간에;on time
지연되다;to be delayed
너희들;you guys
술 한잔하다;to have a drink (alcoholic)
우리는 오늘 밤에 비행기를 타고 일본에 가야 해요;we have to fly to Japan tonight
비행기가 지연되었어요;the flight has been delayed
우리는 산에 가는 중이에요;we're going to the mountain
너희들 나중에 계획이 좀 있어?;do you guys have any plans later?
우리는 내가 가장 좋아하는 티브이 쇼를 볼 거예요;we are going to watch my favourite TV show
나는 친구들과 술 한잔하러 나갈 거예요;my friends and I are going to go out for a drink
당신도 오고 싶어요?;do you want to come as well?
