redan;already
men;but
en ... till (ett ... till);another- one more ...
jag måste köpa en present till min mamma;I have to buy a present for my mum
ge mig en kram;give me a hug
min mamma vill också ha en klocka;my mum also wants a watch
jag har redan en telefon;I already have a phone
han har redan en telefon, men han vill ha en ny;he already has a phone- but he wants a new one
mina barn behöver inte ett till tevespel;my children don't need another video game
ett ämne;a subject (in school)- a topic
litteratur;literature
matematik;maths
historia;history
geografi;geography
konst;art
musik;music
fysik;physics
kemi;chemistry
ett språk;a language
en ambulans;an ambulance
polis;police
att ringa ...;to call (someone)
att ringa efter ...;to call (a service)
att bryta;to break- to crack
brutet;broken (bone)
var gör det ont?;where does it hurt?
ring en ambulans;call an ambulance
det gör ont i armen;my arm hurts
doktorn tror att ditt ben är brutet;the doctor thinks your leg is broken
försiktig;careful
var försiktig;be careful
ett museum;a museum
en kyrka;a church
ett hotell;a hotel
ett gym;a gym- a fitness centre
en bro;a bridge
en biograf;a cinema (building)
bio;cinema
att säga om;to repeat
att köra;to drive
väldigt;very
nära;close
vid;near- by
precis;precisely
långt borta;far away
i närheten;nearby
precis här;right here
var snäll ...;please ...
ligger det ett museum i närheten?;is there a museum near here?
gymmet ligger precis här;the gym is right here
hotellet ligger där borta;the hotel is over there
vi är väldigt nära bron;we are very close to the bridge
biografen ligger långt borta;the cinema is far away
biblioteket ligger nära puben;the library is near the pub
kan du vara snäll och säga om det där?;can you repeat that please?
kan du köra mig till det här hotellet är du snäll?;can you drive me to this hotel please?
det suger!;that sucks!
att anta;to assume- to guess
jag antar det;I guess so
jag tror det;I think so
att vänta;to wait
ett ögonblick;(the) blink of an eye- wait a minute
sådan;such
sådant där;stuff like that
att glömma;to forget
glöm det;just forget it
gudskelov!;thank God!
jul;Christmas
god jul;merry Christmas!
nyår;New Year
gott nytt år!;happy New Year!
en morgon;a morning
en eftermiddag;an afternoon
en kväll;an evening- a night (late evening)
en natt;a night
igår;yesterday
idag;today
i eftermiddag;this afternoon
ikväll;tonight (late evening)
imorgon;tomorrow
imorse;this morning
midnatt;midnight
sen;late
tidig;early
imorgon bitti;tomorrow morning
hans;his
hennes;her- hers
er;your- yours (plural)
vår;our- ours- spring (season)
deras;their- theirs
ett universitet;a university
ett gymnasium;(a) college- high-school
ett dagis;a kindergarten
ett prov;a test
en examen;an exam
att klara;to manage- to pass (an exam)
att misslyckas;to fail
att studera;to study (at university- formal)
att plugga;to study (anywhere- informal)
att undervisa;to teach
att lära (sig);to learn (oneself)
min bror pluggar på universitetet;my brother studies at university
min dotter går på dagis;my daughter goes to kindergarten
en nyhet;(a piece of) news
nyheterna;the news
en tidning;a paper- a magazine
en tidsskrift;a magazine
en film;a film- a movie
en teve;a TV- a television
ett program;a programme
ett teveprogram;a TV programme
att älska;to love
att hata;to hate
att vara intresserad av ...;to be interested in ...
vad tycker han om att göra?;what does he like to do?
vad är du intresserad av?;what are you interested in?
att läsa;to read
han hatar att läsa tidningen;he hates reading the newspaper
är du intresserad av konst?;are you interested in art?
han är intresserad av språk;he's interested in languages
min flickvän hatar konst och musik;my girlfriend hates art and music
vår mamma tittar alltid på nyheterna;our mum always watches the news
ett visum;a visa
ett boardingkort;a boarding pass
ett pass;a passport
en biljett;a ticket
en flygplats;an airport
en terminal;a terminal
bagage;luggage
en resväska;a suitcase
att resa;to travel
att besöka;to visit
att visa;to show
ska;to be going to (future) - should (in questions)
ska vi ...?;should we ... ?
vilken stad ska vi åka till?;which city should we visit?
tung;heavy
lätt;light (not heavy)- easy
du måste ha biljett och visum;you have to have a ticket and a visa
du måste visa passet på flygplatsen;you have to show your passport in the airport
vi måste ta en taxi;we have to take a taxi
mitt bagage är för tungt;my luggage is too heavy
januari;January
februari;February
mars;March
april;April
maj;May
juni;June
juli;July
augusti;August
september;September
oktober;October
november;November
december;December
ett datum;a date (day)
det är juli;it's July
vad är det för datum idag?;what's the date today?
det är den andra januari idag;it is the second of January today
möbler;furniture
en stol;a chair
en soffa;a sofa
ett skåp;a cupboard
en bokhylla;a bookcase
en säng;a bed
en kyl;a fridge
en frys;a freezer
en spis;a stove
en ugn;an oven
en byrå;a chest of drawers- an agency
en garderob;a wardrobe
en dörr;a door
ett fönster;a window
ett golv;a floor
en vägg;a wall (inside)
en mur;a mound- a (low stone or brick) wall
ett tak;a roof- a ceiling
en spegel;a mirror
en lampa;a lamp
en nyckel;a key
ett lås;a lock
en kulspetspenna;a pen
en blyertspenna;a pencil
en kudde;a pillow
ett täcke;a duvet
en filt;a blanket- a carpet
hur många;how many
hur mycket;how much
under;under- beneath
bakom;behind
framför;in front of
vet du var mina nycklar är?;do you know where my keys are?
dina nycklar ligger under soffan;your keys are under the sofa
hur många stolar finns det i vardagsrummet?;how many chairs are there in the living room?
hur mycket mjölk finns det i kylen?;how much milk is there in the fridge?
första;first- 1st
andra;second- 2nd- other- others
tredje;third- 3rd
fjärde;fourth- 4th
femte;fifth- 5th
sjätte;sixth- 6th
sjunde;seventh- 7th
åttonde;eighth- 8th
nionde;ninth- 9th
tionde;tenth- 10th
en utflykt;a trip- a picnic
en promenad;a walk
att dansa;to dance
att simma;to swim
att gå och simma;to go for a swim
att gå en promenad;to go for a walk
att springa;to run
att gå ut och springa;to go for a run
att gå på stan;to go out (to town)
att äta ute;to eat out (lunch or dinner)
att sova;to sleep
att ta sovmorgon;to sleep in
upp;up- upward (movement)
uppe;up- upstairs (fixed location)
att stanna uppe;to stay up
att gå hem;to go home
vad vill du göra idag?;what do you want to do today?
jag vill gå och simma i eftermiddag;I want to go for a swim this afternoon
vill du gå en promenad?;do you want to go for a walk?
vi ska ut och springa imorgon kväll;we're going to go for a run tomorrow night
att leka;to play (a pretend game)
att spela;to play (a game or an instrument)
ett spel;a game (sports or board game)
att spela ett spel;to play a game (e.g. a board game)
kanske;maybe- perhaps
istället;instead
båda;both
oss båda;both of us
oss alla;all of us
vad gör de andra i eftermiddag?;what will the others do this afternoon?
de kanske går på teater;maybe they'll go to the theatre
vi går till marknaden och puben;we'll go to the market and to the pub
vill de andra följa med till stranden i eftermiddag?;do the others want to come to the beach this afternoon?
jag tror de går ut och shoppar istället;I think they'll go shopping instead
att räkna ut;to figure out
det räknade jag ut;I figured that out
seriös;serious
seriöst?;seriously?
oj då;oh dear
otroligt!;unbelievable!
äsch!;alas- bummer!
en nål;a needle
en höstack;a haystack
att leta efter ...;to look for ...
det är som att leta efter en nål i en höstack;it's like looking for a needle in a haystack
ett pund;a pound (£)
en dollar;a dollar ($)
en krona;a crown- Swedish currancy (SEK)
att dra;to pull
att knuffa;to push
gratis;free (of charge)
tillräcklig (tillräckligt);enough- sufficient- sufficiently
en rea;a sale (in a store)
att ha rea;to have a sale on
på rea;on offer
ett avtal;a deal (in business)
att göra ett avtal;to make a deal
ett erbjudande;an offer
att göra ett erbjudande;to make an offer
att låna;to borrow- to lend
att vara skyldig;to owe
att slösa upp;to waste
att kosta;to cost
att bli;to become- to get- to be
det blir;it'll be- there will be
hon har för mycket pengar;she has too much money
vi kan inte slösa upp alla våra pengar;we can't waste all our money
skoaffären har rea;the shoe shop has a sale
vad kostar den där?;how much is that?
det är jättebilligt för att det är på rea;it's very cheap because it's on offer
det kostar fyra kronor;that's four SEK
jag har inte tillräckligt med pengar;I don't have enough money
det är ett jättebra erbjudande;it's a very good offer
det är gratis!;it's free!
ettusen;1-000
tvåtusen;2-000
tvåtusenett (tjugohundraett);2-001 (number)- 2001 (year)
tvåtusensjutton (tjugohundrasjutton);2017 (number)- 2017 (year)
nittonhundrafyrtiofem;1945 (year)
en kvart;a quarter (15 minutes)
hur länge;how long
den är kvart i ett;it's a quarter to one
hur lång är filmen?;how long is the film?
två timmar, tjugo minuter och fem sekunder;two hours- twenty minutes and five seconds
en värld;a world
en pjäs;a play- a piece
en trädgård;a garden
en fest;a party (festivity)
en nattklubb;a (night) club
någonting;anything
gärna;gladly
hellre;more gladly- rather
helst;most gladly- preferably
jag vill gärna ...;I would love- I would gladly ...
att ställa sig upp;to get up (from sitting)
tillsammans;together
att se;to see- to watch
att hänga;to hang out- to spend time together
med mig;with me
med dig;with you (singular)
han vill se världen;he wants to see the world
vill du följa med mig på festen?;do you want to come with me to the party?
det skulle jag gärna vilja, men jag måste upp tidigt imorgon;I would love to- but I have to get up early tomorrow
jag vill inte göra någonting;I don't want to do anything
ingen vill hänga med mig;no one wants to hang out with me
varför inte?;why not?
en resa;a journey
ett spår;a track (train)- a trail- a clue
obevakade;unattended
att lämna;to leave (unattended)
det är en lång resa;it's a long journey
trevlig resa;(wish you a) pleasant journey
att se upp;to look out
se upp för dörrarna;look out for the doors
lämna inte väskorna obevakade;don't leave your bags unattended
sommar;summer
höst;autumn
vinter;winter
i sommar;in the (coming) summer
på jobbet;at work
i skolan;at school
hemma;at home
nästa;next
tillbaka;back
snart;soon
före;before- ahead
efter;after
kommer du tillbaka före eller efter middagen?;will you be back before or after dinner?
jag är hemma klockan fyra;I'll be at home at four o'clock
jag kommer inte vara i skolan imorgon;I won't be at school tomorrow
vi ska åka till Frankrike i sommar;we're going to go to France in the summer
vem ska du åka med?;who are you going to go with?
hon ska till Sverige nästa vinter;she is going to Sweden next winter
måndag;Monday
tisdag;Tuesday
onsdag;Wednesday
torsdag;Thursday
fredag;Friday
lördag;Saturday
söndag;Sunday
en födelsedag;a birthday
vad är det för dag idag?;which day is it today?
idag är det måndag, så imorgon är det tisdag;today it’s Monday so tomorrow it’s Tuesday
när är hennes födelsedag?;when is her birthday?
hennes födelsedag är tredje februari;her birthday is on February 3rd
grattis på födelsedagen!;happy birthday!
en plan;a plan
ett flygplan;a plane
flyget;flight- by plane
en båt;a ship- a boat
en helikopter;a helicopter
ett berg;a mountain
ett hav;a sea
en strand;a beach
en sjö;a lake
att flyga;to fly
att segla;to sail
att åka;to go (by vehicle)- to drive
fram;forward
att komma fram;to arrive
att vilja följa med;to want to come with
att komma i tid;to be on time- to arrive on time
senare;later
försenad (försenat);delayed
runt;around (something)
... eller?;... or what?
har du några planer senare?;do you have any plans later?
min mamma och jag ska titta på mitt älsklingsprogram på teve;my mum and I are going to watch my favourite TV programme
mina vänner och jag ska ut på middag;my friends and I are going to go out for dinner
vill du följa med?;do you want to come?
vi måste flyga till Japan ikväll;we have to fly to Japan tonight
flyget är försenat;the flight is delayed
vi är på väg till berget;we're going to the mountain
vill du följa med eller?;do you want to come or what?
en uppsats;an essay- a style
