norr (norra);north (northern)
ett världsmästerskap;a world cup
ett mål;a goal- a target
en publik;an audience- spectators
den största ...;the biggest ...
att visa ut;to send off
talangfull;talented
underhållande;entertaining
populär;popular
mest;most
minst;least- at least- smallest
det här är århundradets match;this is the match of the century
han är en väldigt talangfull spelare;he's a very talented player
han är årets spelare;he's the player of the year
det här är Europas största idrottssarena;this is the biggest stadium in Europe
basket är den populäraste sporten;basketball is the most popular sport
visa ut honom!;send him off!
en himmel;a sky- (a) heaven
en sol;a sun
en måne;a moon
att skina;to shine
solsken;sunshine
månsken;moonlight
regn;rain
att regna;to rain
en regnrock;a raincoat
snö;snow
att snöa;to snow
en snögubbe;a snowman
att vara varm;to be hot (warm)
att frysa;to freeze- to be cold
en baddräkt;a swimsuit
att sätta på (sig) ...;to put ... on (oneself)
att ta av (sig) ...;to take ... off (oneself)
att sluta;to finish- to end- to stop
våt;wet
torr;dry
alldeles;completely- totally
in;in
inne;inside- indoors
ut;out
ute;outside- outdoors
du blir våt;you'll get wet
om det regnar, blir du våt;if it rains- you'll get wet
jag är alldeles för varm;I'm way too hot
ta av dig jackan då;take off your coat- then
om det snöar kan vi göra en snögubbe;if it snows- we can make a snowman
det slutade regna, så vi gick ut;the rain stopped- so we went outside
ett val;an election- a choice
en kandidat;a candidate
en debatt;a debate
en opinionsundersökning;an opinion poll
ett resultat;a result
en röst;a vote- a voice
religion;religion
en miljö;an environment- a milieu
ett system;a system
ett sjukvårdssystem;a health care system
att föreslå;to suggest
pålitlig;reliable
opålitligt;unreliable
ofta;often
när är nästa val?;when is the next election?
nästa val är om två år;the next election is in two years
tror du statsministern är pålitlig?;do you think the Prime Minister is reliable?
jag tror opinionsundersökningar ofta är opålitliga;I think opinion polls are often unreliable
jag föreslår en sänkning av skatterna;I suggest lowering taxes
religion är ett viktigt ämne;religion is an important topic
debatter om ekonomin gör socialdemokraterna nervösa;debates about the economy make the Social Democrats nervous
i år kommer Moderaterna att få ett bättre resultat;this year the conservative party will get better results
en hjärtinfarkt;a heart attack
en sjukdom;a disease
ett sår;a cut- a wound
en kris;a crisis
ner;down
att ligga ner;to lie down
att lägga ner ...;to lay ... down- to put ... down
att sätta sig ner;to sit (oneself) down
att resa sig upp;to stand (oneself) up
att undersöka;to examine
att dö;to die
att tillfriskna;to recover (from an illness)
att överleva;to survive
vanlig;common
ovanlig;rare
gravid;pregnant
en skada;an injury
skadad;injured
varsågod och sitt;please sit down
jag måste undersöka din rygg;I have to examine your back
du har en ovanlig sjukdom;you have a rare disease
din fru är gravid;your wife is pregnant
att le;to smile
att skratta;to laugh
att gråta;to cry
att ta med;to bring
att bära;to carry- to lead towards
att välja;to pick- to choose
att välja och vraka;to pick and choose
att klättra;to climb (in trees)
att bestiga;to climb (a mountain)
att somna;to fall asleep
att vakna;to wake up
att tappa;to drop (something)
hemsk;awful
överraskad;surprised
till besvikelse;disappointing
besviken;disappointed
plötsligt;suddenly
han var lite besviken;he was a little bit disappointed
plötsligt blev jag väldigt rädd;suddenly I got very scared
jag blev så rädd så att jag tappade min glass;I got so scared- I dropped my ice cream
jag tog inte med mig tandborsten;I didn't bring my toothbrush
vi kunde välja och vraka mellan hotellen;we could pick and choose between hotels
vi åkte till ett trevligt hotell vid havet;we went to a nice hotel by the sea
ett moln;a cloud
en storm;a storm
åska;thunder
vind;wind
blåsigt;windy
dimma;fog
dimmigt;foggy
blixt;lightning
en risk;a risk
risk för ...;(a) risk of ...
en chans;a chance
en väderleksrapport;a weather forecast
genomblöt;soaked
molnigt;cloudy
norrut;up north
söderut;down south
österut;out east
västerut;out west
nog;enough- probably
läs alltid väderleksrapporten;always read the weather forecast
det finns en risk för åska;there is a risk of thunder
det finns en chans att solen skiner i Skottland;there is a chance that the sun will shine in Scotland
det blir regn västerut;there will be rain out west
det klarnar nog upp söderut;it'll probably clear up down south
det kan bli snö ikväll;it may snow this evening
om han inte tar med sitt paraply blir han genomblöt;if he doesn't bring his umbrella- he'll get soaked
natur;nature
en skog;a forest
en regnskog;a rainforest
en djungel;a jungle
en rast;a break
en kisspaus;a toilet break
en tandborste;a tooth brush
en sovsäck;a sleeping bag
en ryggsäck;a backpack
en glass;an ice cream
en gräns;a border
det finns inga lediga toaletter;there are no toilets available
tyvärr finns det inga lediga platser;unfortunately there are no seats available
vilken idiot!;what an idiot!
vi tog inga poäng i första halvlek;we scored no points in the first half
ska vi ta en varmkorv i halvlek?;should we get a hotdog at half-time?
jag hörde resultatet på radio;I heard the results over the radio
de ligger sex poäng före nu;they're six points ahead now
hon vann för att hon var bättre;she won because she was better
bra spelat!;well played!
en poäng;a point
en halvlek;a half (in a match)
en radio;a radio
en domare;a referee- a judge
en varmkorv;a hotdog
en intervju;an interview
att koncentrera sig;to concentrate (oneself)
att ta poäng;to score
ledig;available
oturligt;unfortunate- unlucky
som tur är;fortunately- luckily
tyvärr;unfortunately
i halvlek;at half-time
en känsla;a feeling- an emotion
att begå;to commit
att göra fel;to make a mistake
att förlåta;to forgive
med vilje;on purpose
att ropa;to shout- to call out
att skrämma;to scare
att göra ... ledsen;to upset ...
jo;yes (in answer to a negated statement)
gjorde inte;didn't
jag gjorde fel;I made a mistake
du sårade honom;you hurt him
det är klart att hon gjorde fel;she obviously made a mistake
han menade det inte;he didn't mean it
jo, det gjorde jag;yes- I did
nej, det gjorde jag inte;no- I didn't
hon sårade dig inte med vilje;she didn't hurt you on purpose
jag tror jag sårade hans känslor;I think I hurt his feelings
förlåt mig;forgive me
jag är säker på att allt kommer att bli bra igen;I'm sure everything will be okay
en medlem;a member
en supporterklubb;a fan club
en sportklubb;a sports club
en säsong;a season (in sports and businesss)
en turnering;a tournament
en liga;a league- a band of criminals
