글;article
특정하다;to be particular
구체적이다;to be specific
세부사항;detail
일반적;general
곧장;directly
극적으로;dramatically
전적으로;absolutely- entirely
특별하다;to be special
남는다;(to be) spare
정확히;exactly
오랫동안;for ages
표면;surface
외견상으로;on the surface
단순하게;simply
틀림없이;certainly
결국;eventually
지위;position (job)
대행사;agency
네트워크;network
태도;attitude
의사소통;communication
문제 해결;problem solving
빨리 배우다;to be quick to learn (quick learner)
이완되다;to be relaxed
자신감;confidence (in oneself)
책임감;responsibility
기회;opportunity
도전;challenge
선택사항;option
프로젝트;project
업무;task
경영;management
경영하다;to manage
지원하다;to apply
친근하다;to be friendly
할 수 있다;to be able
할 수 없다;to be unable
높이 평가하다;to think highly (of ... )
기대하다;to expect
사회;society
지역;neighborhood- region- area
지역 사회;local community
사회보장;social security
대민 업무;the civil service
요금;charge- fee
예산;budget
소유자;owner
재산;property
재산 소유자;property owner
조합;union
개혁;reform
이점;advantage
단점;disadvantage
교통수단;transport
재정;finance
공장;factory
근로자;worker
파업하다;to strike (from work)
허락하다;to allow
허락되다;to be allowed
쥐;rat
활동;activity
시리즈;series
방향;direction
나머지;(the) rest
기억;memory
추억;(a good) memory
건축물;structure
바위;rock (stone)
접근;access
공무원;official
가스;gas
서로에게 좋은 상황이에요;it's a win-win situation
징크스가 있다;to jinx
생기다;to be formed- to arise
징크스 생기지 마세요;don't jinx it
참;really-  truly
참 운도 없군요;tough luck
최고경영자;CEO
파트너;partner
이사회;board
회사 임원;board member
고용인;employee
경비;costs
수입;income
소비자;consumer
발달;development
투자;investment
이익;profit
손실;loss
10년;decade
성취하다;to achieve
포함하다;to include
제외하다;to exclude
참 잘했어요!;very well done!
너 해냈구나!;you nailed it!
너는 최고!;you're the best!
태우다;to burn
~으로 변하다;to turn into ...
~에 대하여 걱정하다;to be concerned about ...
존재하다;to exist
채우다;to fill
형성되다;to form
응시하다;to stare
조직하다;to organize
두다;to place
자르다;to cut
눈에 띄다;to show up
타고나다;to be born
조사하다;to research
분석;analysis
분석하다;to analyze
접근법;approach
방법;method
논거;argument (reasoning)
개념;concept
아이디어;idea
학회;conference
과학자;scientist
참가자;participant
요인;factor
지식;knowledge
비교하다;to compare
테스트하다;to test
비판적;critical
무작위;randomness
효과적;effective
그룹;group
개인;individual
논리적이다;to be logical
비논리적이다;to be illogical
원래의;original
기본의;basic
이론상으로;in theory
실제로;in practice
언론;press
기자회견;press conference
원천;source
발송자;sender
정보;information
이벤트;event
지원;support
계좌;account
캠페인;campaign
캠페인을 운영해요;run a campaign
세대;generation
경향;tendency
경향이 있다;to tend (have a tendency)
전화를 끊다;to hang up the phone
전화를 받다;to pick up the phone
찾아내다;to find out
영향을 미치다;to affect
발생하다;to happen
알아차리다;to notice
관련시키다;to relate
예방하다;to prevent
인정하다;to admit
정치적인;political
